Project Code,Title,Commitment in U.A,Country,Starting Date,Status,Source of Financing,Sector,Sovereign
P-SD-AAZ-008,Sudan - Agricultural Value Chain Development Project (AVCDP),"28,950,000.00",Sudan,06 Jun 2018,Implementation,,Agriculture and Rural Development,Sovereign
P-KE-FZ0-013,Kenya - Quantum Power- Menengai Geothermal Power Project,"22,520,459.27",Kenya,06 Jun 2018,Implementation,African Development Bank,Power,Non Sovereign
G-MA-ID0-TRN-001,Morocco - Design and implementation of a training kit to strengthen women's representation capacities in elected bodies ,"139,260.08",Morocco,30 May 2018,Completion,Multi donor Trust Fund for Countries in Transition,Social,Sovereign
G-ST-FZ0-PRE-001,Sao Tome e Principe - Mini-Hydropower Projects Support Programme,"1,060,000.00",Sao Tome and Principe,30 May 2018,Completion,Sustainable Energy Fund for Africa,Power,Sovereign
P-MG-C00-004,Madagascar - Study project for the development of protected areas and ecotourism,"1,000,000.00",Madagascar,24 May 2018,Completion,African Development Fund,Environment,Sovereign
P-Z1-EAZ-055,Multinational - Songwe River Basin Development Programme: Public Private Partnership (PPP) Transaction Advisory Services for Lower Songwe Dam and Hyropower Plant (HPP) Project,"365,868.83",Multinational,16 May 2018,Cancelled,NEPAD Infrastructure Project Preparation Facility,Water Supply & Sanitation,Sovereign
P-NG-BG0-002,Nigeria - Indorama Fertilizer Project II,"60,044,282.66",Nigeria,16 May 2018,Implementation,African Development Bank,"Industry, Minning & Quarrying",Non Sovereign
P-MA-AA0-003,Morocco - Inclusive and Sustainable Development Support Program for Agricultural Sectors (PADIDFA),"161,127,895.27",Morocco,15 May 2018,Completion,African Development Bank,Agriculture and Rural Development,Sovereign
P-DJ-FA0-003,Djibouti - Geothermal Exploration Project in the Lake Assal Region – Supplementary loan,"10,740,000.00",Djibouti,02 May 2018,Completion,African Development Fund,Power,Sovereign
P-BI-K00-014,Burundi - Support energy for cooking and restoration of the environment in four refugee camps,"1,000,000.00",Burundi,02 May 2018,Completion,Transition Support Facility,Multi-Sector,Sovereign
P-CF-IE0-006,Central African Republic - Supplementary Grant to the Support Programme for Reconstruction of Grassroots Communities,"6,265,624.37",Central African Republic,02 May 2018,Completion,Rural Water Supply & Sanitation,Social,Sovereign
P-Z1-K00-084,Multinational - African Peer Review Mechanism Institutional Support Project (APRM-ISP),"2,000,000.00",Multinational,28 Mar 2018,Implementation,African Development Fund,Multi-Sector,Sovereign
P-NE-KZ0-001,Niger - Support Project for Resource Mobilization and Implementation of the ESDP 2017-2021,"1,000,000.00",Niger,27 Mar 2018,Completion,Transition Support Facility,Multi-Sector,Sovereign
,,,,,,,,
P-GM-KA0-009,Gambia - Emergency  Budget Support (GEBS),"5,000,000.00",Gambia,26 Mar 2018,Completion,African Development Fund,Multi-Sector,Sovereign
P-Z1-AAZ-051,Multinational - Leveraging investments to increase access to fertilizer utilisation by smallholder farmers,"728,183.62",Multinational,22 Mar 2018,Completion,Fund for African Private Sector Assistance,Agriculture and Rural Development,Sovereign
P-Z1-KB0-016,Multinational - Afrexim Bank - Regional promotion of factoring in Africa,"369,115.38",Multinational,22 Mar 2018,Implementation,Fund for African Private Sector Assistance,Multi-Sector,Non Sovereign
P-Z1-KF0-053,Multinational - Strenghtening Regional and National Institutions for Reduction of Proliferation of Small Arms,"1,000,000.00",Multinational,21 Mar 2018,Completion,Transition Support Facility,Multi-Sector,Sovereign
P-CD-HAB-005,Democratic Republic of the Congo - Rawbank,"22,234,367.86","Congo, the Democratic Republic of the",07 Mar 2018,Implementation,African Development Bank,Finance,Non Sovereign
P-RW-G00-001,Rwanda - Rwanda Innovation Fund,"22,339,047.17",Rwanda,07 Mar 2018,Implementation,,Communications,Sovereign
P-Z1-HB0-057,Multinational - African Local Currency Bond Fund (ALCB FUND),"6,521,850.53",Multinational,31 Jan 2018,Completion,African Development Bank,Finance,Non Sovereign
P-CF-K00-007,Central African Republic - Economic And Financial Reforms Support Programme (PAREF) - Phase II,"7,000,000.00",Central African Republic,29 Jan 2018,Completion,African Development Fund,Multi-Sector,Sovereign
P-MZ-AA0-033,Mozambique - Drought Recovery and Agriculture Resilience Project (DRARP),"10,000,000.00",Mozambique,18 Jan 2018,Implementation,,Agriculture and Rural Development,Sovereign
P-EG-K00-011,Egypt - Economic Governance and Energy Support Program III (EGESP III),"375,920,064.36",Egypt,17 Jan 2018,Completion,African Development Bank,Multi-Sector,Sovereign
P-MZ-I00-002,Mozambique - Unilúrio - Support to Skills Development for Agriculture and Industry Project,"10,000,000.00",Mozambique,16 Jan 2018,Implementation,African Development Fund,Social,Sovereign
P-Z1-HB0-013,Multinational - West African Economic and Monetary Union (WAEMU) Regional Financial Market Support Project (PADMAFIR),"729,003.94",Multinational,16 Jan 2018,Completion,Fund for African Private Sector Assistance,Finance,Sovereign
P-SD-KA0-007,Sudan - Policy Support to Preparation for Debt Relief,"660,000.00",Sudan,12 Jan 2018,Implementation,Transition Support Facility,Multi-Sector,Sovereign
P-NA-E00-004,Namibia - Windhoek Integrated Water And Wastewater Master Plan and Project Preparation,"850,035.23",Namibia,11 Jan 2018,Implementation,,Water Supply & Sanitation,Sovereign
P-KE-AAZ-014,Kenya - Enable Youth,"21,277,000.00",Kenya,11 Jan 2018,Implementation,,Agriculture and Rural Development,Sovereign
P-SD-I00-004,Sudan - Improving Health Access and Systems Strengthening Project,"20,050,000.00",Sudan,11 Jan 2018,Implementation,Transition Support Facility,Social,Sovereign
P-MG-AA0-039,Madagascar - Program for Promoting Youth Entrepreneurship in Agriculture and Agro-industry (PEJAA) – Project 1,"4,986,334.65",Madagascar,11 Jan 2018,Completion,,Agriculture and Rural Development,Sovereign
P-MW-KF0-005,Malawi - Promoting Investment and Competitiveness in Tourism Sector Project (PICTS),"7,000,000.00",Malawi,11 Jan 2018,Completion,African Development Fund,Multi-Sector,Sovereign
P-NE-KA0-012,Niger - Support to Reforms and Economic Resilience Programme,"30,000,000.00",Niger,10 Jan 2018,Completion,African Development Fund,Multi-Sector,Sovereign
P-CD-KF0-009,Democratic Republic of Congo - Domestic Resource Mobilization and Public Finance Modernization Support Project (PAMRIM-FP),"15,000,000.00","Congo, the Democratic Republic of the",10 Jan 2018,Completion,African Development Fund,Multi-Sector,Sovereign
,,,,,,,,
P-Z1-GZ0-001,Multinational -  Feasibility study for Gabon-ICT backbone project,"636,018.75",Multinational,29 Dec 2017,Completion,NEPAD Infrastructure Project Preparation Facility,Communications,Sovereign
P-LS-BZ0-001,Lesotho - Economic Diversification Support Technical Assistance Project (EDSTAP),"689,286.31",Lesotho,20 Dec 2017,Completion,Fund for African Private Sector Assistance,"Industry, Minning & Quarrying",Sovereign
P-BI-K00-013,Burundi - Support to Agriculture Transformation in the Bugesera Natural Region Project (PATAREB),"12,000,000.00",Burundi,15 Dec 2017,Implementation,Transition Support Facility,Multi-Sector,Sovereign
P-SO-KF0-006,Somalia - Economic and Financial Governance Institutional Support Project (EFGISP) Phase II,"5,500,000.00",Somalia,15 Dec 2017,Implementation,Transition Support Facility,Multi-Sector,Sovereign
P-ML-KA0-007,Mali - Economic Growth Support Programme - Phase I (PACE-I),"9,000,000.00",Mali,15 Dec 2017,Completion,Transition Support Facility,Multi-Sector,Sovereign
P-Z1-FA0-072,Multinational - Cameroon and Chad Power Interconnection Project (Cameroon component),"184,698,244.26",Multinational,15 Dec 2017,Implementation,African Development Bank,Power,Sovereign
P-Z1-FA0-119,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,"62,500,000.00",Multinational,15 Dec 2017,Implementation,African Development Fund,Power,Sovereign
P-UG-E00-018,Uganda - Supplementary Loan to Kampala Sanitation Program (AFKSP),"18,977,264.34",Uganda,15 Dec 2017,Completion,African Development Fund,Water Supply & Sanitation,Sovereign
P-MR-HZ0-004,Mauritania - Financial Infrastructure Modernization Support Project (PAMIF),"3,600,000.00",Mauritania,15 Dec 2017,Implementation,African Development Fund,Finance,Sovereign
P-MR-K00-017,Mauritania - Economic Reforms and Diversification Support Programme - Phase II (PAREDE II),"4,000,000.00",Mauritania,15 Dec 2017,Completion,African Development Fund,Multi-Sector,Sovereign
P-CF-GB0-002,Central African Republic - Central Africa Fibre-Optic Backbone Project (CAB) – CAR Component,"13,216,000.00",Central African Republic,15 Dec 2017,Completion,African Development Fund,Communications,Sovereign
P-EG-EBA-003,Egypt - Sustainable Development of Abu Rawash Wastewater Treatment Plant (Abu-Rawash-WWTP),"75,055,353.32",Egypt,15 Dec 2017,Completion,,Water Supply & Sanitation,Sovereign
P-Z1-FA0-152,Multinational - Cameroon and Chad Power Interconnection Project (Chad component),"27,500,000.00",Multinational,15 Dec 2017,Implementation,Transition Support Facility,Power,Sovereign
P-GH-AAZ-001,Ghana - Savannah Zone Agricultural Productivity Improvement Project (SAPIP),"27,864,750.00",Ghana,15 Dec 2017,Completion,,Agriculture and Rural Development,Sovereign
P-AO-AAZ-001,Angola - Cabinda Province Agriculture Value Chains Development Project,"76,201,605.91",Angola,15 Dec 2017,Implementation,,Agriculture and Rural Development,Sovereign
P-Z1-FA0-146,Multinational - Nigeria-Niger-Benin-Burkina Faso Power Interconnection Project,"50,000,000.00",Multinational,15 Dec 2017,Implementation,African Development Fund,Power,Sovereign
P-SL-E00-006,Sierra Leone - Freetown Water Supply and Sanitation Master Plan and Investment Studies,"1,622,047.76",Sierra Leone,14 Dec 2017,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-Z1-FA0-148,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,"30,000,000.00",Multinational,13 Dec 2017,Implementation,African Development Fund,Power,Sovereign
P-Z1-FA0-149,Multinational - 225KV Guinea-Mali Electricity Interconnection Project,"30,000,000.00",Multinational,13 Dec 2017,Implementation,African Development Fund,Power,Sovereign
P-NA-DZ0-001,Namibia - Transport Infrastructure Improvement Project,"82,964,831.21",Namibia,13 Dec 2017,Implementation,,Transport,Sovereign
,,,,,,,,
P-MG-E00-010,EMERGENCY ASSISTANCE PROJECT TO COMBAT THE OUTBREAK OF PLAGUE,"478,275.83",Madagascar,13 Dec 2017,Completion,Special Relief Funds,Water Supply & Sanitation,Sovereign
P-BJ-FA0-004,Benin - Electricity Corporation of Benin Sub-Transmission and Distribution System Restructuring and Extension Project (PRESREDI),"11,610,000.00",Benin,12 Dec 2017,Implementation,,Power,Sovereign
P-Z1-DB0-181,Multinational - Lake Chad Basin Regional Road Network Integration Project - Construction of a Bridge over the Logone between Yagoua (Cameroon) and Bongor (Chad),"36,324,599.81",Multinational,11 Dec 2017,Implementation,,Transport,Sovereign
P-Z1-DB0-203,Multinational - Lake Chad Basin Regional Road Network Integration Project - Construction of a Bridge over the Logone between Yagoua (Cameroon) and Bongor (Chad),"17,500,000.00",Multinational,11 Dec 2017,Implementation,African Development Fund,Transport,Sovereign
P-Z1-KE0-023,Multinational - Emerging Africa Infrastructure Fund Project 3 (EAIF3),"57,071,544.89",Multinational,11 Dec 2017,Implementation,African Development Bank,Multi-Sector,Non Sovereign
P-MU-HAB-001,Mauritius - Maubank Holdings Limited,"75,055,353.32",Mauritius,11 Dec 2017,Completion,African Development Bank,Finance,Non Sovereign
P-UG-AAZ-003,Uganda - Agricultural Value Chain Development Programme (AVCP) – Project 1,"57,000,000.00",Uganda,11 Dec 2017,Implementation,,Agriculture and Rural Development,Sovereign
G-TN-H00-ZZZ-001,Tunisia - Support to SMEs for access to non-bank financing,"369,495.63",Tunisia,08 Dec 2017,Completion,Multi donor Trust Fund for Countries in Transition,Finance,Sovereign
P-MA-FF0-004,Morocco - Noor Midelt Solar Central Project - Phase I,"54,884,329.40",Morocco,06 Dec 2017,Approved,African Development Bank,Power,Sovereign
P-MZ-AA0-031,Mozambique - Project Preparation Facility (PPF) for the Value Chains and Market Development Program in Pemba-Lichinga Corridor,"1,000,000.00",Mozambique,06 Dec 2017,Completion,,Agriculture and Rural Development,Sovereign
P-CI-FAB-001,Côte d'Ivoire - 44 MW Singrobo - Ahouaty Hydropower Project,"32,425,421.53",Côte d'Ivoire,06 Dec 2017,Approved,African Development Bank,Power,Non Sovereign
P-GN-D00-001,Guinea - Boké Mine Rail and Port Project,"71,228,039.48",Guinea,06 Dec 2017,Implementation,African Development Bank,Transport,Non Sovereign
P-MA-BB0-003,Morocco - TEKCIM Cement,"36,936,715.10",Morocco,06 Dec 2017,Implementation,African Development Bank,"Industry, Minning & Quarrying",Non Sovereign
P-TG-KA0-002,Togo - Governance and Agribusiness Promotion Support Programme (PAGPA),"9,530,000.00",Togo,05 Dec 2017,Completion,African Development Fund,Multi-Sector,Sovereign
P-ML-FA0-004,Mali - Mini Hydropower Plants and Related Distribution Networks Development Project (PDM-HYDRO),"20,000,000.00",Mali,04 Dec 2017,Implementation,African Development Fund,Power,Sovereign
P-NA-I00-001,Namibia - Education and Training Quality Improvement Project,"41,482,415.60",Namibia,04 Dec 2017,Implementation,African Development Bank,Social,Sovereign
P-NA-AA0-005,Namibia - Agricultural Mechanisation and Seed Improvement Project (NAMSIP),"41,482,415.60",Namibia,04 Dec 2017,Implementation,,Agriculture and Rural Development,Sovereign
P-TN-IA0-004,Tunisia - Technical and Technological Skill-Building Support Project (PADCTT),"58,996,083.32",Tunisia,04 Dec 2017,Implementation,,Social,Sovereign
P-Z1-KF0-027,Multinational - Lobito Corridor Trade Facilitation Project,"6,000,000.00",Multinational,04 Dec 2017,Implementation,African Development Fund,Multi-Sector,Sovereign
P-Z1-DC0-021,Multinational - Feasibility Study on the Extension of the Cameroon-Chad Railway Line (Cameroon),"2,000,000.00",Multinational,28 Nov 2017,Implementation,African Development Fund,Transport,Sovereign
,,,,,,,,
P-GA-A00-003,Gabon - Graine Programme Support Project - Phase I (PAPG1),"80,743,514.53",Gabon,28 Nov 2017,Implementation,African Development Bank,Agriculture and Rural Development,Sovereign
P-MG-K00-011,Madagascar - Economic Competitiveness Support Programme - Phase I (PACE-I),"10,000,000.00",Madagascar,28 Nov 2017,Completion,Transition Support Facility,Multi-Sector,Sovereign
P-KE-DA0-001,Kenya - Jomo Kenyatta International Airport (JKIA) Airfield Expansion Project - 2nd Runway Development,"117,361,421.83",Kenya,28 Nov 2017,Cancelled,,Transport,Sovereign
P-CM-F00-006,Cameroon - Nachtigal Hydro Power Project,"105,382,619.97",Cameroon,28 Nov 2017,Implementation,African Development Bank,Power,Non Sovereign
P-Z1-A00-016,Multinational - Technologies for African Agricultural Transformation - Framework Program in Support of “Feed Africa” Paper,"29,000,000.00",Multinational,28 Nov 2017,Completion,African Development Fund,Agriculture and Rural Development,Sovereign
P-Z1-DC0-037,Multinational - Feasibility Study on the Extension of the Cameroon-Chad Railway Line (Chad),"2,000,000.00",Multinational,28 Nov 2017,Implementation,African Development Fund,Transport,Sovereign
P-TD-KA0-007,Chad - Emergency Fiscal Consolidation Support Programme (PUCB),"46,000,000.00",Chad,24 Nov 2017,Completion,Transition Support Facility,Multi-Sector,Sovereign
P-Z1-DB0-182,Multinational - Community Road Strengthening Project on CU2A : Gounghin-Fada N'Gourma - Piega – Niger Border Section ( Burkina Faso),"75,818,722.52",Multinational,24 Nov 2017,Implementation,,Transport,Sovereign
P-RW-IZ0-006,Rwanda - Skills and Business Development Programme (SBDP),"60,000,000.00",Rwanda,24 Nov 2017,Completion,African Development Fund,Social,Sovereign
P-Z1-H00-047,Multinational - Line of Credit to Oragroup,"40,151,290.06",Multinational,24 Nov 2017,Approved,African Development Bank,Finance,Non Sovereign
P-KM-K00-008,Comoros - Investment Promotion Agency Support Project (PAAPI),"1,100,000.00",Comoros,23 Nov 2017,Completion,Transition Support Facility,Multi-Sector,Sovereign
P-CM-KA0-011,Cameroon - Competitiveness and Economic Growth Support Programme (PACCE),"144,857,556.74",Cameroon,22 Nov 2017,Completion,African Development Bank,Multi-Sector,Sovereign
P-ET-FA0-013,Ethiopia - Addis Ababa Transmission and Distribution System Rehabilitation and Upgrading Project (AATDRUP),"72,230,000.00",Ethiopia,22 Nov 2017,Implementation,,Power,Sovereign
P-TN-DB0-016,Tunisia - North-East Road Connectivity Support Project,"99,965,585.62",Tunisia,22 Nov 2017,Implementation,,Transport,Sovereign
P-MR-BAA-006,Mauritania - National Industrial and Mining Company (SNIM),"7,609,539.32",Mauritania,22 Nov 2017,Implementation,African Development Bank,"Industry, Minning & Quarrying",Non Sovereign
P-LS-KF0-003,Lesotho - Tax Modernisation Project (LTMP),"5,000,000.00",Lesotho,22 Nov 2017,Implementation,African Development Fund,Multi-Sector,Sovereign
P-MG-FA0-016,Madagascar - Feasibility Study for the Reinforcement and Interconnection of Electrical Power Transmission Networks Project,"1,000,000.00",Madagascar,21 Nov 2017,Completion,,Power,Sovereign
P-RW-E00-011,Rwanda - Sustainable Water Supply and Sanitation Program ,"91,331,096.62",Rwanda,17 Nov 2017,Implementation,,Water Supply & Sanitation,Sovereign
P-UG-FAB-008,Uganda - Bujagali Energy Limited 2,"48,925,542.01",Uganda,17 Nov 2017,Implementation,African Development Bank,Power,Non Sovereign
P-MG-A00-006,Madagascar - Integrated agro-industrial growth pole project in the south,"836,030.31",Madagascar,10 Nov 2017,Completion,African Development Fund,Agriculture and Rural Development,Sovereign
,,,,,,,,
P-CI-DA0-001,Côte d'Ivoire - Air Côte d'Ivoire's Expansion Plan,"36,586,882.87",Côte d'Ivoire,08 Nov 2017,Approved,African Development Bank,Transport,Non Sovereign
P-ZM-HB0-006,Zambia - Zambia National Building Society,"11,079,630.89",Zambia,08 Nov 2017,Implementation,African Development Bank,Finance,Sovereign
P-CI-DA0-002,Côte d'Ivoire - Air Côte d'Ivoire Modernization and Expansion Program,"59,154,996.12",Côte d'Ivoire,08 Nov 2017,Implementation,,Transport,Sovereign
P-GA-KA0-006,Gabon - Economic and Financial Reform Support Programme – Phase II (PAREF II),"245,817,013.82",Gabon,08 Nov 2017,Completion,African Development Bank,Multi-Sector,Sovereign
P-TN-G00-003,Tunisia - Support Project for the Implementation of the “Digital Tunisia 2020” National Strategic Plan,"58,635,551.70",Tunisia,08 Nov 2017,Implementation,African Development Bank,Communications,Sovereign
P-TN-IAZ-003,Tunisia - Inclusive Regional Development Support Programme – Phase II (PADRI-II),"99,965,585.62",Tunisia,03 Nov 2017,Completion,African Development Bank,Social,Sovereign
P-TN-AAB-001,Tunisia - Project to Develop Irrigation Schemes through Value Chain Development,"22,716,616.31",Tunisia,25 Oct 2017,Implementation,,Agriculture and Rural Development,Sovereign
P-KE-HAB-013,Kenya - Kenya Commercial Bank Limited,"75,055,353.32",Kenya,25 Oct 2017,Completion,African Development Bank,Finance,Non Sovereign
P-Z1-DB0-160,Multinational - Guinea - Sierra Leone: Coyah-Farmoreah-Sierra Leone Border Road Reconstruction Project,"38,280,000.00",Multinational,25 Oct 2017,Implementation,,Transport,Sovereign
P-SD-E00-003,Sudan - Institutional Capacity Building for Improved Access to Water and Sanitation in Port Sudan,"15,000,000.00",Sudan,23 Oct 2017,Implementation,Transition Support Facility,Water Supply & Sanitation,Sovereign
P-CF-E00-011,"Central African Republic - Emergency aid for food security, sanitation and drinking water for people affected by armed conflict in the city of Bambari","706,504.08",Central African Republic,20 Oct 2017,Completion,Special Relief Funds,Water Supply & Sanitation,Sovereign
P-CV-KA0-007,Cabo Verde - Economic Growth Support Programme – Phase II (PACE II),"16,338,934.87",Cape Verde,19 Oct 2017,Completion,African Development Bank,Multi-Sector,Sovereign
P-Z1-DB0-200,Multinational - The Uganda –Tanzania (Masaka-Mutukula-Kyaka-Bugene-Kasulo-Kumunazi) Roads Project,"1,051,856.61",Multinational,18 Oct 2017,Completion,NEPAD Infrastructure Project Preparation Facility,Transport,Sovereign
P-ZA-HAA-014,South Africa - Industrial Development Corporation (IDC),"128,982,493.61",South Africa,27 Sep 2017,Completion,African Development Bank,Finance,Non Sovereign
P-SL-HAB-002,"Sierra Leone - Union Trust Bank Limited
(Africa SME Program)","1,489,580.39",Sierra Leone,26 Sep 2017,Cancelled,African Development Bank,Finance,Non Sovereign
P-Z1-EAZ-053,Multinational - Project to support the Economic Community of Central African States (ECCAS) for the creation of a transboundary basin organisation,"763,524.16",Multinational,13 Sep 2017,Completion,NEPAD Infrastructure Project Preparation Facility,Water Supply & Sanitation,Sovereign
P-ML-EAZ-004,Mali - Studies for the elaboration of the Master Plan and Investment Programme of the Integrated Development and Climate Resilience Project in the Delta 2 Plains (PDIR-PD2),"1,636,613.01",Mali,11 Sep 2017,Completion,,Water Supply & Sanitation,Sovereign
P-EG-FF0-010,Egypt - Solar Photovoltaic Power Project under the Egyptian Feed-in-Tariff Program Round 2 - Shapoorji Pallonji Energy Egypt,"8,935,618.87",Egypt,04 Sep 2017,Implementation,African Development Bank,Power,Non Sovereign
P-EG-FF0-012,Egypt - Solar Photovoltaic Power Project under the Egyptian Feed-in-Tariff Program Round 2 - Delta for Renewable Energy,"9,531,326.79",Egypt,04 Sep 2017,Implementation,African Development Bank,Power,Non Sovereign
P-EG-FF0-011,Egypt - Solar Photovoltaic Power Project under the Egyptian Feed-in-Tariff Program Round 2 - Alcazar Energy Egypt Solar 1,"9,680,253.77",Egypt,04 Sep 2017,Implementation,African Development Bank,Power,Non Sovereign
,,,,,,,,
P-CI-AA0-024,Côte d’Ivoire - PPF-Pôle Agro-Industriel in the north of Côte d’Ivoire,"1,000,000.00",Côte d'Ivoire,28 Aug 2017,Completion,,Agriculture and Rural Development,Sovereign
P-ML-AA0-025,Mali - Support program for the transformation of Malian agriculture - Youth Agricultural Entrepreneurship Component (PATAM-EAJ),"988,437.44",Mali,18 Aug 2017,Cancelled,,Agriculture and Rural Development,Sovereign
P-Z1-EAZ-047,"Multinational - Support Project for the Creation of a Transboundary Basin Organisation (Ogooué, Ntem, Nyanga, and Komo) and Preparation of Investment Projects (PACOBT-PPI)","896,989.39",Multinational,11 Aug 2017,Completion,AfricaWater Facility Fund,Water Supply & Sanitation,Sovereign
P-CF-AA0-011,Central African Republic - Support Project for the Strategy for the Transformation of Central African Agriculture and the Promotion of Youth Entrepreneurship in the Agricultural and Agrobusiness Sector,"998,523.00",Central African Republic,08 Aug 2017,Completion,African Development Fund,Agriculture and Rural Development,Sovereign
G-EG-KZ0-ZZZ-003,Egypt - Strengthening Capacity of the Administrative Control Agency to Combat Corruption,"1,877,809.85",Egypt,01 Aug 2017,Completion,MENA Transition Fund,Multi-Sector,Sovereign
G-LS-FZ0-PRE-001,Lesotho - Mafeteng Solar PV Project,"518,001.58",Lesotho,25 Jul 2017,Completion,Sustainable Energy Fund for Africa,Power,Non Sovereign
G-TG-FZ0-TRN-001,Togo - CIZO Pilot Project for off-grid rural electrification using solar kits,"982,762.31",Togo,25 Jul 2017,Completion,Sustainable Energy Fund for Africa,Power,Sovereign
P-Z1-AA0-120,Multinational - Say No to Famine: Short-Term Regional Emergency Response Project (STRERP),"25,000,000.00",Multinational,21 Jul 2017,Completion,African Development Fund,Agriculture and Rural Development,Sovereign
P-Z1-AA0-121,Multinational - Say No to Famine: Short-Term Regional Emergency Response Project (STRERP),"31,500,000.00",Multinational,21 Jul 2017,Completion,African Development Fund,Agriculture and Rural Development,Sovereign
P-CD-AAG-001,Democratic Republic of Congo - PPF of the Bukanga Lonzo Agro-Industrial Park Support Project,"149,168.51","Congo, the Democratic Republic of the",19 Jul 2017,Completion,African Development Fund,Agriculture and Rural Development,Sovereign
P-CI-KA0-009,Côte d'Ivoire - Economic Governance and Growth Support Programme (PAGEC),"36,232,000.00",Côte d'Ivoire,14 Jul 2017,Completion,African Development Fund,Multi-Sector,Sovereign
P-MA-K00-013,Morocco - Industrialization Acceleration Support Programme in Morocco – Phase I (PAAIM I),"150,663,673.48",Morocco,14 Jul 2017,Completion,African Development Bank,Multi-Sector,Sovereign
P-TN-HAB-005,"Tunisia - Hannibal Lease
(Africa SME Program)","6,400,563.25",Tunisia,14 Jul 2017,Completion,African Development Bank,Finance,Non Sovereign
P-CM-I00-006,Cameroon - Emergency humanitarian aid for refugees in the far north of Cameroon,"478,931.77",Cameroon,12 Jul 2017,Completion,Special Relief Funds,Social,Sovereign
P-MW-K00-007,Malawi - Statistical Capacity Building to Conduct Economic Census Project,"760,000.00",Malawi,05 Jul 2017,Completion,African Development Fund,Multi-Sector,Sovereign
P-KE-AA0-019,Kenya - Emergency Humanitarian Relief Assistance to the Population affected by Drought and Famine,"476,831.54",Kenya,03 Jul 2017,Completion,Special Relief Funds,Agriculture and Rural Development,Sovereign
P-CD-I00-008,Democratic Republic of Congo - Emergency humanitarian aid to combat the Ebola haemorrhagic fever epidemic in Bas-Uele Province,"710,353.40","Congo, the Democratic Republic of the",29 Jun 2017,Completion,Special Relief Funds,Social,Sovereign
P-SN-DC0-003,Senegal - Dakar-Diamniadio-AIBD Regional Express Train Project - Phase I: Dakar-Diamniadio Segment,"149,899,215.02",Senegal,21 Jun 2017,Implementation,,Transport,Sovereign
P-ZW-FA0-014,Zimbabwe - Emergency Power Infrastructure Rehabilitation Project - Phase II Stage II,"5,156,302.77",Zimbabwe,20 Jun 2017,Implementation,Zimbabwe Multi-donor Trust Fund,Power,Sovereign
P-Z1-AAG-014,Multinational - ETC Group Limited T/A Export Trading Limited II,"78,132,324.91",Multinational,14 Jun 2017,Completion,African Development Bank,Agriculture and Rural Development,Non Sovereign
,,,,,,,,
P-Z1-AAG-012,Multinational - ETC Group Limited,"73,185,011.71",Multinational,14 Jun 2017,Completion,African Development Bank,Agriculture and Rural Development,Non Sovereign
P-MZ-KB0-001,Mozambique - Nacala Corridor Business Linkages Technical Assistance Project,"781,323.25",Mozambique,14 Jun 2017,Completion,Fund for African Private Sector Assistance,Multi-Sector,Sovereign
P-NG-IA0-005,Nigeria - Institutional Support for the Afe Babalola University Project - MIC TAF,"740,000.00",Nigeria,30 May 2017,Cancelled,Middle Income Countries Fund,Social,Sovereign
P-MW-KB0-002,Malawi - Malawi Nacala Rail and Port Value Addition Project,"723,379.63",Malawi,23 May 2017,Completion,Fund for African Private Sector Assistance,Multi-Sector,Sovereign
P-TD-KF0-014,"Chad - Support Project for the Improvement of Economic Programming, Institutional Management and the Business Environment","650,000.00",Chad,17 May 2017,Completion,Transition Support Facility,Multi-Sector,Sovereign
P-BI-I00-002,Burundi - Support Project for the Development Strategy Preparation Process (PAPESD),"877,000.00",Burundi,17 May 2017,Implementation,Transition Support Facility,Social,Sovereign
P-RW-HAA-007,Rwanda - Development Bank of Rwanda,"14,954,612.75",Rwanda,16 May 2017,Completion,African Development Bank,Finance,Non Sovereign
P-SZ-HAA-001,Swaziland - Swaziland Development Finance Corporation (FINCORP) -Second LoC is under the Africa SME Program,"9,540,955.59",Eswatini,12 May 2017,Completion,African Development Bank,Finance,Sovereign
P-NA-K00-007,Namibia - Economic Governance and Competitiveness Support Programme (EGCSP),"124,447,246.81",Namibia,10 May 2017,Completion,African Development Bank,Multi-Sector,Sovereign
P-CD-I00-007,"Democratic Republic of Congo - Aide humanitaire d'urgence aux populations victimes des désastres causés par des pluies dans la ville de Boma
(Version française uniquement)","737,001.14","Congo, the Democratic Republic of the",04 May 2017,Completion,Special Relief Funds,Social,Sovereign
P-SO-IZ0-008,Somalia - Emergency Humanitarian Relief Assistance to the Victims of Drought,"710,353.40",Somalia,28 Apr 2017,Completion,Special Relief Funds,Social,Sovereign
P-GW-KF0-009,Guinea-Bissau - Project to support the institutional capacity building of the justice sector,"1,256,450.00",Guinea-Bissau,21 Apr 2017,Completion,Transition Support Facility,Multi-Sector,Sovereign
P-BJ-FZ0-001,Benin - Energy Sector Budget Support Programme - Phase I (PASEBE I),"19,920,000.00",Benin,12 Apr 2017,Completion,African Development Fund,Power,Sovereign
P-SS-FA0-006,South Sudan - Juba Power Distribution System Rehabilitation and Expansion Project,"10,610,000.00",South Sudan,12 Apr 2017,Implementation,Transition Support Facility,Power,Sovereign
